tsne1,tsne2,clusters
-34.78684,23.989166,2
-90.15751,3.6910594,2
-69.321304,2.1715622,2
-34.18707,32.31388,2
-31.135513,30.926954,2
-33.494347,32.680084,0
-32.731445,20.878775,2
-36.110935,21.516228,2
-22.180885,29.033371,2
-42.000988,27.68252,2
-22.836731,21.95693,2
-43.60403,39.744194,2
-78.92819,32.869297,2
-40.646423,40.208435,2
-42.308144,41.78983,2
-29.449053,33.2344,2
-34.858894,28.48256,2
-43.55545,25.26956,2
-42.35932,45.090614,2
-35.25922,25.860762,2
-42.878765,41.765568,2
-55.16883,49.412395,2
-59.281765,43.156338,2
-22.413631,50.184578,2
-56.5103,46.021553,2
-31.26326,32.18567,2
-30.806557,30.268932,2
-53.961983,49.398926,2
-55.3403,46.102577,2
-79.1732,-5.6770806,2
-62.806007,22.294876,2
-13.407835,44.855072,2
-76.033005,34.603218,2
-81.022675,-8.038226,2
-13.050906,30.398518,2
-43.681484,17.75778,2
-23.855362,27.667095,2
-27.978935,40.16168,0
-41.10845,45.8681,2
-46.38063,53.375526,2
-53.89691,48.794743,2
-39.104984,52.153862,2
-16.937796,44.748978,2
-45.516045,53.467953,0
-48.979412,51.719208,2
-51.69153,47.110245,2
-33.764153,32.36529,2
-45.01877,27.115639,2
-56.670284,44.555145,2
-15.591584,44.04786,0
-39.677334,52.158142,0
-50.211536,49.246864,2
-43.056725,47.69156,2
-56.61573,-94.87108,2
-44.38702,50.16036,2
-27.950369,39.966396,0
-15.633878,45.24226,2
-44.288643,49.813156,2
-44.423107,50.186554,0
-44.769337,50.371273,2
-55.694263,56.931473,0
-77.04794,32.50931,2
-69.343956,2.2969592,2
-15.5093975,48.05765,0
-69.482956,2.372602,2
-47.537487,-65.26113,2
-38.727364,-63.861115,2
-46.28205,-91.38363,2
-61.425243,35.96658,2
-39.68508,-67.92262,2
-56.398365,-95.79501,2
-78.24686,32.879967,2
-51.626713,-75.768906,2
-27.559034,56.566277,2
-39.84068,-67.62355,2
-37.882275,-62.868427,2
-44.88015,-69.32696,2
-42.465813,-69.56572,2
-54.836918,-96.92953,2
-35.075222,-71.39832,2
-41.461994,39.860634,2
-38.64643,33.424965,2
-35.151596,-73.96234,2
-22.500175,29.04068,2
-43.34766,-97.454094,2
-57.74499,20.634975,2
-57.767864,20.583498,2
-43.802006,-98.916145,2
-43.34747,-97.454575,2
-24.992256,35.72984,1
-38.648964,40.009933,2
-38.64643,33.424965,2
-41.461994,39.860634,2
-58.663235,42.35957,2
-35.12813,-73.93871,2
