song_mask,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,followers,popularity_artists,release_year,duration_min,clusters,cluster_label,popularity_songs,name_song
song35491,132780,0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,177401.0,85,2021,2.213,1,Party / Club tracks,98,Astronaut In The Ocean
song35224,161385,0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,1624015.0,90,2020,2.68975,1,Party / Club tracks,94,WITHOUT YOU
song35248,186133,0.725,0.756,-5.013,0.0572,0.362,0.000685,0.103,0.828,100.07,224299.0,78,2020,3.1022166666666666,1,Party / Club tracks,92,Hecha Pa' Mi
song35067,160000,0.709,0.548,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,5076597.0,92,2020,2.6666666666666665,1,Party / Club tracks,91,What You Know Bout Love
song35358,215891,0.795,0.655,-3.815,0.0422,0.076,1.76e-06,0.296,0.744,93.029,7865082.0,89,2021,3.5981833333333335,1,Party / Club tracks,91,911
song35260,163208,0.767,0.659,-7.429,0.0444,0.325,0.0,0.13,0.439,124.946,31001.0,81,2020,2.7201333333333335,1,Party / Club tracks,89,Goosebumps
song35113,165926,0.789,0.536,-6.862,0.242,0.41,0.0,0.129,0.437,81.039,3657199.0,91,2021,2.765433333333333,1,Party / Club tracks,89,RAPSTAR
song35258,123263,0.719,0.648,-7.6,0.125,0.2,0.0,0.127,0.66,140.201,137139.0,79,2020,2.0543833333333335,1,Party / Club tracks,89,Whoopty
song35110,132833,0.832,0.534,-7.813,0.253,0.345,0.0,0.165,0.116,93.924,3657199.0,91,2020,2.2138833333333334,1,Party / Club tracks,88,Martin & Gina
song35494,175047,0.808,0.796,-3.169,0.0305,0.462,0.000269,0.155,0.799,128.048,909495.0,78,2021,2.91745,1,Party / Club tracks,87,Tapão Na Raba
